0	z iy r ow
goonge
goonj
gorey
gorilla
gosha
goshe
goshon
gosht
goshwara
got
gothon
governance
government
governor
gown
goya
gozri
grade
graduation
gramophone
great
groh
ground
group
growth
gthrhi
guards
guche
gudda
guftagu
guh
guid
guinese
gujjar
gujraati
gul
guldasta
gulehri
gulrez
gulshan
gulsitan
gum
gumshudaa
gun
gunahgaar
gunahon
gunjelaq
gunnah
gunnahon
guraiz
gurbat
gurga
gurge
gurgey
guriya
gustaakhi
guthi
guthiyan
guthli
guys
guzaarne
guzaarun
guzar
guzarta
guzarun
guzashta
guzeen
guzeer
guzishta
guzray
guzri
gya
gyara
gyarwien
gymkhanh
h
H
ha
haadse
haafiz
haaji
haal
haar
haasil
haath
haavy
haazri
habha
habib
habs
Habshi
hackel
had
hadayyat
hadd
haddi
hadees
hadsati
hae
Hafeez
hafiz
hafta
hafte
hafze
hai
haibat
haider
haif
hail
hain
hair
hairan
hairat
haisiyat
haiza
hajhoom
hajj
Hajjaj
haju
hajveri
halaank
halaat
halaf
halak
halat
half
hali
halki
halmet
haln
halqa
hamal
hamara
hamaray
hamarey
hamein
hamesha
Hamid
hamil
hamla
hamle
hamlon
hamra
hamsheera
hamza
hamzaad
han
haneef
hangaami
hanger
hanooz
hanse
hansne
haosng
haq
haqeeqat
haqoomat
haqooq
har
hara
harasan
hard
hardware
hare
hareefon
harfon
hargiz
hartal
harverter
has
haseen
hashiye
hashmi
hashr
hasil
haspanwi
haswani
hatana
hath
hatheli
hathey
hathon
hathoray
hathyaar
haulnaak
hauz
have
haveida
havely
hay
hayat
hayyat
hazaar
Hazan
hazar
hazarwein
hazeen
haziyani
hazmi
hazoor
hazraat
hazrat
he
head
headquarter
health
hear
heavy
hee
heech
heeng
hein
hello
Hello
help
helps
her
heraan
here
herion
hero
heroen
hesiyat
hey
hf
hi
hia
hichkichahat
hidayat
hifazat
hifz
hijan
hijjay
hijjon
hijoya
hijr
hijra
hijraan
hijrat
hijre
hijrhon
hijri
himayat
hindu
hinduo
hindustani
hinse
hinso
hisa
hisas
hisb
hissa
hissay
hisse
hisson
hn
ho
hoga
hogaya
hogaye
hogi
hogya
hoi
hoja
hojaye
home
homeopathic
homeopathy
hon
hona
honay
honda
hone
honey
hongay
honsle
hooda
hope
hosh
hoshiyar
hoshmndi
hoshruba
hoshyari
hosla
hostess
hota
hotay
hote
hoti
houn
house
houses
how
howa
hozri
hu
hua
hub
hudood
hudoodon
hue
hufaaz
hui
huin
hujat
hujjat
hujoom
hukoomat
huliya
hum
huma
humara
humaray
humari
humary
humay
humjoliyon
humra
humsaffar
humumar
humwaar
hun
hundred
hungama
hungry
huqmaraan
huqooq
huriyyat
hurmati
huron
husan
husn
husool
hussain
Hussain
hussaini
huve
hwa
hyderabad
hydrogen
hyphen
i
I
iblaagh
ibrahim
ibrat
ibtidayi
idaaray
idaray
idaron
idgham
if
iffat
iflaas
ifraat
ihtraam
ijaad
ijazat
ijlaas
ijnaas
ijrah
ijtamai
ijtimaat
ikatees
ikathi
ikatis
ikattis
ikeeswen
ikhattar
ikhila
ikhraaj
ikhrajaat
ikhtiar
ikhtiyaar
ikhtiyar
ikhwan
ikis
ikkiis
iksath
iktaliis
ikttaliis
ikyanve
ikyassi
ikyawan
ilaaj
ilaaqon
ilaawa
ilahiyaat
ilam
ilaqa
ilaqai
ilaqe
ilawa
ilhaaq
ilm
ilzaam
Im
image
imdaad
immigration
important
imraaz
imran
imtehan
imtihan
in
including
industry
ineqaad
infaradi
infection
infloenza
inforcement
information
inhe
inhetaat
injection
injury
inke
inkeshaaf
innings
inqelaab
insaan
insaaniyat
insecty
inshaallah
inshaiya
inside
insulation
insulin
insurance
intazar
intehai
intehaon
intekhabaat
inteligence
intellectual
intelligance
intendent
inteqaal
interface
intermediate
intersection
intezaam
inthan
investment
involvement
inzabaati
Inzimam
iodine
iqaan
iqbal
iqdamaat
iqraar
iqtedar
iqtisadi
irani
iraqi
irfaan
irrigation
irshaad
irtiash
is
Is
Isaq
ishaal
ishara
ishkhaas
ishq
ishrat
ishtiyal
isi
isiyan
islamabad
islami
isna
ispaghol
isqaat
israely
iss
isse
issue
issues
istafsaar
istaghasa
istaghfaar
istaghna
istaghraq
isteefey
istefaade
istehfamiya
istehqaaq
istehsali
istemaal
isthaan
istimaal
istiqlal
it
itehaad
itlaat
itna
its
Its
ittafaq
itwar
iye
izafa
izafey
izdaham
izhaar
izj
izzat
j
J
J310K10014438
ja
jaa
jaadoyi
jaal
jaali
jaamiyat
jaan
jaana
jaantey
jaari
jaata
jab
jabeen
jabra
jabre
jabri
jabron
jache
jachhen
jachta
jacket
jad
jadeed
jad-o-jehad
jadole
jadoogar
jadoon
jafry
jaga
jagah
jageerdaroon
jaghon
jaguar
jah
jahan
jahangir
jaib
jaidad
jail
jaisa
jaisay
jaise
jaisi
jaiza
jakran
jal
jalala
jalau
jald
jaldi
jalhi
jalooson
jalsa
jalsay
jalson
jalwon
jamaat
jamat
jame
jamea
jamghatta
jamhooriyet
jamiyat
jamshed
jan
jana
janaab
janab
janam
janaza
jane
jangju
jangon
janib
janibdar
janta
jantey
janu
january
jao
jarga
jarh
jarhiat
jarhon
jari
jarrain
jasa
jashan
jasoosi
jast
jat
jata
jati
jaun
jawab
jawar
jawed
jaya
jaye
jayen
jayun
Jayyad
jazbaat
jazo
jazz
jee
jeem
jeesh
jeewan
jehad
jehal
jehte
jeori
jese
jevan
jewelery
jewish
jhaag
jhagra
jhagraloo
jhagre
jhagron
jhaiyan
jhalak
jhalar
jhande
jhangvi
jhankne
jharap
jharion
jhariyon
jharne
jharoo
jhatkay
jheegey
jheel
jheelen
jheelon
jhele
jhijhak
jhilli
jhinor
jhirak
jholi
jhompri
jhonkay
jhonkon
jhoole
jhoolon
jhoom
jhoot
jhuggi
jhukao
jhulas
jhumke
jhund
jhunjulahat
jhurriya
jidojahad
jigar
jihaad
jin
jinn
jis
jism
jiss
jitnay
jitney
jitni
jiye
jkhrani
jmkhanh
jo
job
jogging
jogi
johar
johi
johri
joint
joiya
jojoba
jokhon
jolaani
joon
joona
joq
jor
jora
jore
joren
jorh
joriyan
josh
jossi
jounhi
joya
joye
joyen
jrt
juay
jubilee
juda
judaghana
judge
judgon
judicial
judiciary
jug
juice
Jullundhri
juloos
july
jumerat
jumma
june
junejo
jung
jungi
jungjoo
jungjuyana
junglon
junior
junoobi
jurm
jurwan
just
justice
justuju
k
K
K6590
ka
kaa
kaabil
kaaf
kaafi
kaafoor
kaam
kaandhon
kaar
kaarobar
kab
kabadi
kabeer
kabhi
kabootar
kache
kachehri
kachi
kachla
kachokey
kachori
kachra
kachre
kachwa
kachway
kachwon
kade
kafer
kafi
kaghan
kaghaz
kaghazaat
kaha
kahaf
kahan
kahani
kahin
kahkashaon
kahnay
kaho
kai
kaisa
kaise
kaisi
kajoo
kaklen
kal
kala
kaleedi
kaleji
kali
kalrathi
kalvanji
kam
kamahka
kamengi
kamiyaabi
kamray
kamre
kamron
kamyaab
kamyab
kamyabiyon
kamzor
kandhalwi
kangaroo
kange
kangi
kanji
kanju
kanola
kar
kara
karachi
karaein
karahi
karai
karam
karawai
karaya
karayen
karayon
kardey
kardeya
kare
kareebi
kareem
karein
karen
karey
kariyo
karkardgi
karkher
karna
karnay
karne
karney
karni
karo
karod
karofar
karon
karorron
karta
karte
kartey
karti
karun
karvae
karvi
karwa
karwaa
karwaadi
karwaali
karwaana
karwaaney
karwaani
karwai
karwaien
karwaiyon
karwanay
karwao
kaseer
kashaf
kashif
kashmiri
kasmiri
kasrat
katha
kathin
kay
kayi
kbhi
kchile
ke
KE
kee
keechar
keep
keere
keerha
keeron
keh
kehalwa
kehkahe
kehkashan
kehna
kein
kelula
kere
kesey
kevrra
keya
kh
KH
kha
khaa
khaad
khaak
khaal
khaam
khaane
khaas
khaasi
khaate
khabar
khabaron
khabrain
khacha
khachi
khaddar
khadd-o-khaal
khadi
khadim
khadsha
khadshey
khafgi
khafif
khaft
khaga
khail
khailay
khailon
khailtay
khaimay
khair
khairs
khaiz
khajooren
khakan
khalal
khalayi
Khalid
khalifa
khalil
khaliye
khalq
kham
khambe
khamosh
khamoshi
khan
khana
khanazeer
khandaan
khane
khangalnay
khangi
khanjar
khanqahoon
khanzada
khao
khar
khara
kharch
khare
khareed
khareeday
khareedi
khariyat
kharja
kharosh
kharrab
kharray
kharyat
khasare
khasay
khashoonat
khaskhas
khasoot
khatam
khatir
khatme
khatoon
khauf
khaufon
khaun
khawaas
khawand
khawandgi
khawari
khawastgah
khawateen
khawesh
khaya
khayal
khayam
khayat
khayen
khayriat
khaza
khazan
khazana
khdayi
kheer
kheera
kheh
KHEH
khel
khelain
kheledra
khelne
khelni
khenchi
khey
khich
khichri
khidmaat
khilaaf
khilaf
khilari
khilariyon
khildi
khilji
khilkhila
khiloy
khilvad
khirki
khisaal
khisak
khisha
khist
khizaa
khizer
khlwayin
kho
khob
khobsorat
khod
khodsozi
khofnaak
khoj
khokhala
khokle
khokli
khol
khole
kholen
kholne
kholo
khone
khoofia
khoon
khooskhabri
khoraak
khost
khoya
khoye
khuahan
khuan
khubbe
khud
khuda
khudaon
khudkushion
khudro
khudser
khughar
khui
khujli
khujoor
khul
khule
khulein
khuley
khulne
khuloos
khumaar
khumbiyon
khursheed
khusboo
khusbuyein
khush
khushboon
khushgawar
khushi
khushiyan
khushnoodi
khushu
khusoosan
khusoosi
khusron
khusse
khuzar
khuzu
khwa
khwaar
khwabeeda
khwahish
khwahishmand
khwaja
khwarja
khwarzimi
ki
kia
kich
kidnap
kids
kifalat
kifayat
kijiye
kilo
kilometere
kimothrapi
kinara
kinaray
kindly
kinds
kingdom
kinrade
kirdaar
kirdar
kis
kisam
kisi
kissa
kisse
kissi
kitaab
kitaaben
kitabcha
kitna
kitnay
kiya
kiye
kizulfon
KKR
KLH
know
ko
kochigarh
kochriko
kofen
kohastan
koi
koil
koile
kokh
koleshen
kolsery
kon
koneen
konsi
koocha
kooche
koofi
kooyen
korean
korh
kori
koriyan
korma
kosha
koshish
koshishen
koshishon
koson
kotahi
kothey
kothi
kothiyon
kothri
kothyan
kr
kraon
krna
krne
krni
krta
krte
krti
ktabche
kub
kuch
kucha
kuchle
kuffar
kufr
kuh
kulsoom
kum
kun
kunr
kunwan
kurhne
kya
kyolri
kyun
kyunkay
kyun-ke
l
L
la
laad
laakh
laal
laalchi
laam
laathi
laaye
lab
labalab
labattah
labing
laboratory
labour
lachak
lachar
ladeeniyat
ladkawala
ladley
lady
laein
lafz
lafzi
lafzon
laga
lagaata
lagai
lagana
lagane
lagao
lagat
lagaya
lagaye
lagayen
lage
lagen
lagey
laghari
laghzish
lagi
lahaq
laho
lahore
lahori
lahoriyaat
lahu
lai
Laiha
laik
laila
lais
lakar
lakarwaala
lakarwaara
lakarwara
lakdawala
lakh
lakha
lakhon
lakht
lamhe
lamhon
lamp
land
landscape
landsliding
lang
langa
langar
langri
language
lao
laqab
lara
larai
laraib
laren
larka
larkhara
larkiyan
laser
lashain
lashkar
lashon
last
lateefey
lathiyan
laubali
lauhon
laun
launching
launge
laus
laut
lawn
lay
laya
laye
layen
layi
layunfik
lazat
lazing
lcation
le
leader
leads
leak
learn
learned
learning
leather
leaya
left
lega
legend
legendary
lehaza
lehja
lehjey
lehren
lein
lekin
len
lena
lene
length
lesson
lessons
leta
lete
letey
leti
lets
letter
letters
lewa
leya
leyna
lfzyat
lghw
li
lia
libaas
library
librerian
lien
lieutenant
lihaaz
lihaza
like
likely
likh
likha
likhain
likhe
likhi
likhnay
likho
likhte
likhun
likhwa
limun
line
listen
listening
litchi
literature
litherey
little
live
livestock
liya
liyaqat
liye
liyw
lo
load
loadsheding
lock
log
logo
logon
loha
lohan
lohar
lohe
lok
lolly
lomri
longi
look
looks
loot
lot
lothra
lotion
loud
louis
love
lower
lowng
lquid
LS
luck
ludhiyanvi
lughat
lughwi
lumar
lun
lund
lurhaq
luxury
m
M
ma
maa
maab
maachis
maad
maadhu
maaf
maakhiz
maal
maam
maamlay
maan
maaney
maang
maani
maar
maaraz
maashooq
maathey
maavzon
maazi
maazrat
mabain
mabzool
macha
machane
machar
macheron
machhi
machine
machinery
machli
machliyan
macholi
mad
madaa
madad
madahon
madam
madat
maddah
made
madfan
madfoon
madgham
madham
madhar
madhon
madhosh
mad-muqabil
madoo
Madoon
madrassa
madrasson
madzoob
maed
maeeshat
mafaad
mafhoom
mafia
maflooj
mafqood
mafroozaat
magar
magarmach
magazine
maghaz
maghfirat
maghfoor
maghfy
maghloob
maghrour
magsi
mah
mahauliyat
maheene
mahena
mahireen
mahjoor
mahlon
mahol
mahroom
mahroon
mahswara
mahwaar
mai
maidan
maide
mail
main
maiyat
maizban
majboor
Majeed
majhay
majle
majlis
majmoa
majmoay
majmoi
majmuon
major
majrooh
make
makes
makhdoom
makhdoosh
makhhan
makhion
makhiyan
makhlooq
makhooz
makhraj
makhsoos
making
makoron
malaysia
malaysian
malboosaat
maldaar
male
maleria
malfoozat
malghobah
malhoot
malik
malikholia
maloom
maloomaat
maloomat
malzoom
mamlaat
mamnoo
mamooli
man
management
manager
managing
managment
manash
mand
mandiyon
mandobeen
mane
manfi
manfiyat
mangal
mangne
mangni
mangwa
manhoos
manje
manjhdar
manji
mannual
manos
manshoor
mansoobe
mansookh
mansookhi
manufacturer
manufacturers
Manwa
manwiyat
many
manzar
manzoom
manzoor
Manzoor
mao
maood
maqab
maqam
maqbooza
maqool
maqrooz
maqsad
maqsood
mar
mara-aat
marathon
march
mardangni
mardon
mare
mareezon
marghazar
marghoob
marhoom
marhoon
markazi
marlah
marne
marozi
marrah
marri
marriage
marshal
marsiye
martaba
marz
marzi
masail
masala
mashaekhe
mashaghil
mashar
mashe
mashgala
mashhoor
mashiyat
mashooor
mashq
mashqen
mashriq
mashroobat
mashrood
mashwara
masjid
maskhare
masla
maslan
masnoaat
masnooi
masoom
masooron
masq
masroof
masroofiyat
mast
mat
matbua
match
matches
matchon
matha
matlab
matlooba
mature
maudbana
mauhlat
maujil
maujood
maula
mauqa
mauqey
mauqon
mausam
mausar
maushre
maut
mautal
mauziz
mawad
mawalslati
maweshi
may
mayanat
mayoob
mayoos
mayor
mayyad
mayyari
mayyat
mayyaton
mazaaq
mazakraat
mazaraeen
mazayeka
mazboot
mazda
mazdooron
maze
mazedaar
mazeed
mazhab
mazhabi
mazhaq
mazhar
mazlaam
mazmoon
mazooriyon
mazrob
me
mean
meandi
means
media
medical
medicine
meecho
meel
meem
meera
meeran
meerthi
meet
meetaiyan
meethay
meethi
meeting
mega
mehanga
mehangai
meharbani
meharbaniyon
mehaz
mehboob
mehbooba
mehdood
mehfil
mehfooz
mehlool
mehman
mehnat
mehran
mehsoos
mehwar
mehwish
mehwiyat
mehzooz
mein
mela
melay
member
memon
memorial
mendha
mene
Mengal
meow
mera
meray
merbaani
merchant
mere
merey
meri
merit
message
met
methi
methods
methyl
mettha
meva
mewati
mezen
mg
mhmanan
mia
mian
microwave
middle
midnight
mikhayl
mil
mila
milau
milein
miley
mili
millat
milli
million
milliya
milnay
milne
milney
milswey
milta
milti
milun
minded
mint
minute
minutes
miqdaar
mirch
mirche
mirchon
mirza
misaal
misdaaq
miss
missile
mithan
mitten
mitti
mizaaj
mizah
mizgan
mkhalfon
mlaria
mnafaon
mndri
moajazaat
moajezae
moajoon
moakhar
moamma
moasar
mobile
mochi
model
modeling
moeed
mohabbat
mohan
moharrir
Moheeb
mohoom
mohqiqeen
mohsin
mohsina
mohtaajon
mohtarma
moisterizer
moisturizing
mojab
mojood
mojooda
mojoodah
mojzan
mokhar
molana
molvi
momar
momid
momin
moochen
moochon
mood
moodhi
moon
Moona
moong
moonus
moozi
morak
morchay
mordalzam
more
morh
morkhin
moroosi
moseeqi
mosladhar
mosmiyat
mosool
most
mostly
motem
motion
motorcycle
mouf
mount
mout
mouth
move
moveable
movement
movie
mowaqey
moza
mozooaat
mozoon
mozooniyat
mozu
mp
mrghbani
mrs
mtaadid
mthal
mthrani
mua
muahiday
muaina
mualij
mualim
mualja
mualje
muanidana
muaqqaf
Muaqqar
muarifat
muarkha
muash
muashiaat
muasir
muavza
muawin
muaz
muazizeen
mubadla
mubaligheen
mubarak
mubashir
mubeen
mubham
mubligh
mubni
mubtala
much
mudafat
mudaiyan
mudakhlat
muddah
muddai
muddat
mueen
mufahimat
mufakkir
mufassar
mufeed
mufir
muflis
mug
mughal
mughalon
Mughis
mughlia
mughrabi
muhabbat
muhafizon
muhajir
muhammad
muhaqiq
muhar
muhaya
muhayyar
muhim
muhliq
muhmin
Mujahid
mujahy
mujarrad
mujawaza
mujeeb
mujh
mujhay
mujhe
mujhy
mujrim
mukhaffaf
mukhaiyar
mukhalifat
mukhbiri
mukhil
mukhra
mukhre
mukhtalif
mukhzan
mulakat
mulaqat
mulawis
mulazim
mulazimat
mulazimeen
mulazmat
mulazmeen
mulhiq
mulhiqa
mulk
mulki
mullaon
mumalik
mumaniyat
mumasil
mumbai
Mumbai
mumkin
mumlikat
mumlktin
mun
munafa
munafey
munaqqid
munashiyaat
munasib
munawar
munazzam
mundhe
muneeb
Muneeb
munfarid
munhadim
munich
Munir
munqish
munshi
munshion
munshiyana
muntakhib
muntakhibaat
muntakil
muntazir
muqablay
muqablon
muqarrar
muqawi
muqayyad
murad
muraghan
murattab
muree
murgh
murgha
murghabiyon
murghi
murghiyan
murghon
murh
murjha
murli
murrabe
murree
murshad
musaddiq
musakhar
musalmaan
musalman
musalsal
musanif
musaviron
musawir
musbat
museebat
mushafi
mushaira
mushaqat
musharraf
mushawarat
mushfiq
mushkil
mushtail
mushti
music
musir
muslim
Mustaghni
mustaid
mustard
muta-arif
mutabiq
mutaffar
mutafiqa
mutaghayur
mutaghraq
mutaharik
mutahidda
mutahira
mutain
mutakhreen
mutala
mutalba
mutalbe
mutalea
mutaliq
mutalon
mutanazia
mutarajim
mutasira
mutasireen
mutassir
mutawaffi
mutawe
mutayana
mutradif
mutwafi
mutwaja
muwasilat
muwziaat
muyassir
muzaffar
muzayyan
my
mzaraon
n
N
na
naakis
naam
naame
naamzad
nabiyuz
nabooat
naboyan
nabvi
nach
nacha
nacheez
nachnay
nadeem
nadir
nae
Naeem
naehli
nafal
nafiz
nafli
nagar
nagha
naghma
nah
nahayein
naheef
nahi
nahoosat
nai
naib
naimat
naimaton
najaaiz
najaf
nakaam
nakein
nakhre
nakhson
nakhud
nakhwasta
nakshe
namak
namaz
name
namf
Nami
namoodar
namu
namwar
nanga
nangay
nanha
nanhe
nanhi
nani
naniyaal
naqal
naqash
naqazon
naqras
naqsh
naqsha
naqshbandi
naqwi
narghay
nargis
narkh
narkhon
nasal
nasb
naseeb
naseehat
nasein
nasfsiyati
nashaib
Nashar
nashasta
nashe
nashisht
nashownuma
nashta
nashu
nasreen
nataij
nateeja
nateejay
nathi
nathnon
nation
national
native
natural
nature
nau
naubat
naujawan
naukhez
naumeedi
naunehal
nauroz
nauy
nauz
nauzayeda
navasi
naveed
nawab
nawaz
nawaza
nawaznein
nawazon
nawe
naweeson
nawein
nay
naya
naye
nayi
nazam
nazan
nazar
Nazar
nazariye
nazarsani
nazdeek
nazim
nazimabad
nazir
nazle
nazley
nazron
ndoy
ne
neecha
neeche
neechi
need
needle
neel
neelam
neelgun
neem
neeroo
neez
negative
nehar
neon
nerang
neschen
neto
neuro
never
new
news
newsNation
next
neyamat
nezey
nhi
nibhaaye
nibhane
nichale
nichawar
nichli
nichor
nida
nidar
nidhal
nighat
nighawar
nighdasht
night
nigraan
nigrani
niha
nihayat
nijaat
niji
nikaab
nikal
nikalen
nikali
nikhar
nikhara
nikhra
nikhwat
nikla
Nilofer
nimtain
ninanway
nine
nineteen
ninety
ninunve
ninyaanve
nirkh
nisaar
nisf
nishaan
nishan
nishana
niswan
nitrogeny
nizaam
nizad
nm
no
noaabadyati
noble
noch
nochandi
nochen
nofel
nogo
noha
nohe
nojawanon
nomolood
noo
noodles
nooi
noon
noor
north
nosh
Noshad
noshervan
not
notice
novel
november
now
noyat
nozlon
nozzel
nshrwashaat
nshyi
nu
nucleas
nudrat
nufoos
null
numa
numainda
numaya
number
numbers
numeral
nuqoosh
nuqsaan
nursen
nuskha
nuskhe
nuskhon
nuve
nuzool
o
O
oa
obaash
october
od
odhio
of
ofcourse
office
officeran
officials
ohday
ohdedaron
oho
ojhri
ok
oka
okay
olay
old
omega
on
once
onche
one
ones
oney
online
only
oochay
oodh
oohaam
ooni
oons
oopar
oos
open
operation
operator
Operator
oposition
or
ordinence
organization
organizing
orh
orha
oriyan
osmani
other
otherwise
ouchan
our
out
over
overhead
overloading
own
oxygen
oye
p
P
paach
paak
paanch
paanchon
paas
paasban
pabundi
pachaas
pachanve
pachas
pachassi
pachhis
pachiis
pachis
pachpan
package
paensath
paentalis
paentees
paentiis
paenttaliis
pagri
pagriyan
pahar
pahari
pahattar
pahonch
pahoron
pahuchoon
pahunch
pahuncha
pahunchaya
pahunchi
pahunchne
pahunchte
paicheeda
paida
paidaiesh
paidawar
paisay
paish
paison
pakaye
pakeezgi
paki
pakistan
pakka
pakoron
palare
palastine
pallu
palmar
palon
palothi
palra
pamphlet
panch
panchawan
panchhi
pancholi
panchwien
pandra
pandrah
pane
pangoore
panhan
pani
panj
panjabi
panjgana
panjnad
pankh
pankha
pankhari
paper
par
para
paracha
parakhche
parao
paratha
parathe
parcha
parchaiyan
parcham
parchiyan
pareshaa
pareshan
parh
parhai
parhaiz
parhayen
parhe
parhein
parhen
parhi
parhiye
parhnay
parhne
parho
pari
parkha
parkhe
parlimany
parlimentarian
parlour
parosi
parpooja
parr
parre
parta
party
parveen
parwa
paryoon
pas
pasaday
pasand
pasandida
pasdari
pashangoi
pasmandah
pasmurdah
passion
passport
pata
patakhe
pathan
pathar
patharon
pathe
pathologist
pathology
pathon
pathri
pathriyan
pathun
patna
paune
paya
payedar
pazalbash
pchasoyn
pe
pecheedgyon
pechotri
peda
pedawaar
peecha
peeche
peechey
peer
peeron
peesne
peet
peeth
pegham
peghambar
pehal
pehalwan
peham
pehchan
pehente
pehla
pehle
pehli
pehlu
pehlvon
pehna
pehne
pehsaab
pen
pensath
per
perathryde
perfect
perform
performance
period
perokaar
perokaron
pervi
pesh
peshe
peshgi
peshgoiyan
peshkash
peshkashen
peshkashon
peshqadmi
peshraft
peshroh
peshwa
peth
petioner
petroleum
pey
phaar
phahey
phail
phair
phairen
phal
phaliyan
phalon
phans
phansay
phanse
phansi
phaphoondi
pharpharaye
phase
phat
phatak
phbti
pheeka
phela
phelao
phelay
pheleen
phelne
phenka
phephray
phephron
pheren
pherne
pherte
phir
phisal
phobia
phone
phoog
phool
phoonk
phoophen
phosphate
phosphorus
phrase
phuar
phulki
phuncha
phunchen
phuppo
phurkar
phurti
physiotherapist
pichar
pichatar
pichla
pichle
picture
piece
pighal
pighly
pigla
pinjaron
pinjre
piracy
pirhi
piroya
piroyen
pishroon
pistol
pistolen
pitch
pitchen
pitches
pithu
piyen
PK
PK10B114447
PKP937483
place
plate
player
please
plenty
plug
poacha
pod
pohach
pohanchayen
pohnch
pohunchane
pohunchaun
point
police
Police
policiyon
policy
polio
ponch
ponchne
poney
pooch
poochen
poochi
poochiye
poochnay
poocho
poooray
poora
pop
posheeda
potohari
pouchon
pouchye
powder
power
practice
pradhan
prchhayin
premier
president
press
pressure
prhwa
principal
print
prithvi
privacy
private
privatization
problem
problems
process
processing
processng
processor
productive
professional
professor
profile
programme
programmon
progressive
project
pronounce
pronounced
pronounciation
pronouncing
pronunciation
prtaysh
pthl
pu
publishing
pُulon
punjabi
pur
puraana
puray
purcahse
purjosh
purlutf
purnam
purriyan
pursish
pursoz
pursukoon
purtayush
put
pyara
q
Q
qaaf
qaari
qaazi
qabaili
qabal
qabeeley
qabeh
qabil
qabrustan
qabze
qad
qadam
qadaren
qadr
qadray
qadri
qadron
qadyani
qafas
qaid
qaidiyon
qaim
qala
qalam
qaleen
Qalzum
qam
qandeel
qanoon
qaraar
qarardad
qareeb
qareebi
qaryin
qarzay
qarzon
qasam
qasim
qasoor
qasoorwar
qatal
qauid
qaumi
qawam
qawaneen
qay
qayam
qayamat
qayyam
qayyum
qaza
qazaf
qaziye
qdoqamt
qdroqimt
qeemat
qehat
qiaser
qinaat
qismati
qiyam
qomi
qomyaye
qooat
qood
qos
qoum
quaaf
quaf
quarter
quaton
qubool
qudrati
qudse
qudsiya
que
queen
quh
quiz
qul
quomi
Qureshi
qusoor
quyood
r
R
R1
raabta
raabtey
raag
raaj
raanjhan
raastey
raat
raaytin
raazdan
rabiya
racer
rachao
raddeamal
radeef
radio
raees
raega
rafeeq
rafia
rafiya
raft
raftar
rafu
rag
ragen
raghbat
raghib
ragren
raha
rahabar
rahageer
rahay
rahdari
rahe
raheem
rahen
rahey
rahgeer
rahi
Rahil
rahiye
rahnuma
rahnumaon
raho
rahtey
raij
raiyat
rajan
raje
rajia
rakh
rakha
rakhao
rakhe
rakhein
rakhen
rakhi
rakhiyo
rakhna
rakhne
rakhney
rakho
Rakhshanda
rakhta
rakhtay
rakhtha
rakhun
rakhwa
rambo
ramzi
randhawa
rang
ranged
rangeela
rangeen
rangers
rangon
ranjha
ranjida
ranjish
rao
raqam
raqeeb
raqim
raqs
raqsan
rasao
raseeda
Raseedah
rasha
rasheed
rashid
rasikh
rasoli
rasool
rastay
rasten
rathor
rauf
raushneeyon
ravayon
ravi
ravla
rawaat
rawan
rawaye
rawayya
rawayye
rawish
ray
rayan
raye
raygan
raywar
raza
razzaq
rday
read
reading
ready
real
really
receptionist
reciever
record
recording
Recording
red
reech
reechon
reengti
reerh
referendum
refuge
regional
registration
regular
reh
rehaish
reham
Rehana
rehmat
rehta
rehtay
rehte
rehzani
relax
release
relief
remarks
remember
repeat
report
reprtash
request
requirement
reriyan
rescue
research
reserve
reserves
reshmi
reshon
resolution
restaurant
result
retired
retirement
return
revenue
reverse
review
rey
rha
rhe
rhi
riayat
riaz
Riffat
right
rihaishi
rikh
rimjhim
ringte
rirhhi
rishtay
risk
risors
riwayat
riyasat
rizvi
rizwan
rj
ro
road
robin
roghan
roghnyaat
rohi
roidaad
rojhaan
roll
ronaq
rone
rongte
rood
rooh
roohani
roohen
roohi
room
rooshanas
roosi
rooth
roothen
rooyat
roshan
roshanaas
roshni
roun
rounder
rover
roya
roye
roz
roza
rozana
roze
rozey
rozgaar
roznama
rozon
rqasaon
rray
rsya
Rubab
rue
rujhaan
rujoo
rukan
rukh
rukho
rukhsaaro
rukhsat
rula
rules
rung
runs
rupey
ruqoom
Ruqqia
rushdi
rusookh
ruswai
ruth
s
S
sa
saa-at
saad
saadat
saaf
saahab
saal
saalgirah
saalmiyat
saamne
saamney
saangi
saara
saari
saarifeen
saariyo
saaroun
saat
saath
saathi
saathiyon
saathwein
saaz
saazgar
saazi
sab
sabab
sabak
sabaro
Sabghat
sabha
sabiq
sabir
saboohi
saboot
sabr
sabsidy
sabz
sabzi
sabziyon
sabzwari
sach
sachai
sachal
sadaqat
saddar
sad-e-baab
sadhu
Sadiq
sadiyan
sadiyon
saeed
saentaliis
saentalis
saentees
saentiis
saenttaliis
saenttis
safah
safai
safaid
safaidi
safar
safe
safedey
safeer
safety
saffon
safha
safhay
safhein
safhon
safoof
sagar
sage
saghar
saghir
Saghir
sahab
sahafion
sahara
sahare
saheli
sahi
sahib
sahil
sahulat
saib
saibaan
said
saien
sailors
sair
sairgah
sajate
sajda
sajjad
sajji
sajjid
sakal
sakein
saken
sakht
sakhta
sakoon
sakoot
sakta
sakteen
saktey
sakti
sala
salaam
salahiyat
salahiyaten
salam
salas
salay
sale
sales
salha
salook
salooki
samaan
samaeen
samait
samajh
samajhdar
samajhney
samajhte
samandar
samar
samavi
sambhaal
sambhal
