0	Z IY R OW
BESUD	B AH S AH D
BETH	B EH TH
BETHA	B AH TH AA
BETHAK	B AH TH AE K
BETHE	B AH DH IY
BETHEIN	B AH TH IY N
BETHI	B AH TH IY
BETHO	B AH TH OW
BETI	B AH T IY
BEURO	B AH Y UH R OW
BEWAH	B AH W AA
BEWAQAT	B AH W AE K AH T
BEWAQOOF	B IH W AH K UW F
BEY	B EY
BEYALIIS	B IY IY AH L IY IY Z
BEYANVE	B AH Y AE N V
BEYOGAN	B AH Y OW G AH N
BEZAAR	B AH Z EY AH R
BFT	B IY EH F T
BHAAG	B HH AA G
BHAAL	B HH EY AH L
BHAARI	B HH AA R IY
BHABHI	B HH AE B HH IY
BHADDI	B HH AE D IY
BHAEN	B HH EY AH N
BHAGDAR	B HH AE G D AH R
BHAGORON	B HH AE G AH R AH N
BHAI	B HH EY
BHAID	B HH EY D
BHAIJ	B HH EY JH
BHAIYON	B HH EY AY AH N
BHAJJAN	B HH AE JH AH N
BHALA	B HH AE L AH
BHANGRA	B AA NG G R AH
BHANGRE	B HH AE N G AH R
BHANJE	B HH AE N JH
BHANON	B HH AE N AH N
BHANP	B HH AE N P
BHAO	B HH EY OW
BHAR	B HH AA R
BHARAK	B HH AE R AH K
BHARAS	B HH AE R AH Z
BHARAT	B HH AE R AH T
BHARE	B HH AE R
BHARI	B HH AE R IY
BHAROSA	B HH AE R AH S AH
BHARTA	B HH AA R T AH
BHARTI	B HH AA R T IY
BHASE	B HH EY Z
BHASHA	B HH AE SH AH
BHASM	B HH AE Z AH M
BHAWAJ	B HH AO AH JH
BHAYANAK	B HH EY AH N AH K
BHEEGY	B HH IY JH IY
BHEEL	B HH IY L
BHEEM	B HH IY M
BHEJ	B HH EH JH
BHEJA	B HH EH JH AH
BHEJE	B HH IY JH
BHEJEN	B HH IY JH AH N
BHEJI	B HH EH JH IY
BHEJNAY	B HH EH JH N EY IY
BHELDAR	B HH EH L D AH R
BHENGA	B HH EH N G AH
BHENS	B HH EH N Z
BHENT	B HH EH N T
BHENTEN	B HH EH N T AH N
BHERAIN	B HH AH R EY N
BHERHAYE	B HH EH R EY
BHERHON	B HH EH R AH N
BHERIYA	B HH IY R IY AY AH
BHERIYE	B HH IY R IY AY
BHERVI	B HH AH R V IY
BHETUN	B HH EH T AH N
BHI	B HH IY
BHIGO	B HH IH G OW
BHIGOYEN	B HH IH G OY AH N
BHIJWA	B HH IH JH W AH
BHIKAR	B HH AY K AH R
BHINA	B HH IH N AH
BHINDI	B HH IH N D IY
BHINSIN	B HH IH N S AH N
BHIRH	B HH IH R
BHIRON	B HH IH R AH N
BHJWAYIN	B HH JH W EY AH N
BHOJHPOORI	B HH AA JH HH P AH R IY
BHOLA	B HH AA L AH
BHONCHAL	B HH AA N CH AH L
BHONDI	B HH AA N D IY
BHOOL	B HH UW L
BHOOLEN	B HH UW L AH N
BHOOLIYE	B HH UW L IY AY
BHOOLNA	B HH UW L N AH
BHOOLO	B HH UW L OW
BHOOMI	B HH UW M IY
BHOOND	B HH UW N D
BHOORA	B HH UH R AH
BHOORE	B HH UH R
BHOOSA	B HH UW S AH
BHOOSE	B HH UW Z
BHOOT	B HH UW T
BHOT	B HH AA T
BHRANI	B HH R AE N IY
BHSIN	B HH S IH N
BHUGTI	B HH AH G T IY
BHUJHAI	B HH AH JH HH EY
BHUJNE	B HH AH JH N
BHULAYA	B HH Y UW L EY AH
BHURBHURI	B HH AH R B HH Y AH R IY
BHUTTO	B UW T OW
BIALLAH	B AY AE L AH
BIASSI	B AY AE S IY
BICH	B IH CH
BICHA	B AY CH AA
BICHANE	B AY CH EY N
BICHAR	B AY CH AA R
BICHAYE	B AY CH EY
BICHE	B AY CH IY
BICHI	B AY CH IY
BICHONA	B AY CH OW N AH
BIG	B IH G
BIGARH	B AY G AA R
BIGARNE	B AY G AA R N
BIGGER	B IH G ER
BIGREN	B IH G R AH N
BIJLEE	B IH JH L IY IY
BIKE	B AY K
BIKHRE	B AY K R
BIKHRI	B AY K R IY
BIL	B IH L
BILA	B IY L AH
BILKHUSHOOS	B AY L K AH SH UW Z
BILKUL	B AY L K AH L
BILLI	B AY L IY
BILLION	B IH L Y AH N
BILLON	B IH L AH N
BILOWER	B AY L OW ER
BINAULA	B AY N AO L AH
BIOLOGICAL	B AY AH L AA JH IH K AH L
BIOS	B AY OW S
BIRD	B ER D
BISTAR	B AY S T AA R
BIT	B IH T
BITCHRHA	B AY CH R AA
BITHA	B AY TH AA
BIWI	B AY W IY
BIYANWE	B AY Y AE N W
BL	B IY L
BLA	B L AA
BLAKHOF	B L AE K AH F
BLEECH	B L IY CH
BLGRAMI	B L G R AE M IY
BLOCK	B L AA K
BLOCKING	B L AA K IH NG
BLOOGHAT	B L UW AH T
BLOOS	B L UW Z
BOARD	B AO R D
BOARDER	B AO R D ER
BOBBY	B AA B IY
BOCHAR	B AA CH AH R
BODY	B AA D IY
BOGUS	B OW G AH S
BOHAT	B AA HH AH T
BOHRAAN	B AA R EY AH N
BOI	B OY
BOKLAHAT	B AA K L AH HH AH T
BOL	B AA L
BOLA	B OW L AH
BOLAN	B OW L AH N
BOLE	B OW L
BOLEIN	B OW L IY N
BOLI	B OW L IY
BOLNAY	B OW L N EY IY
BOLO	B OW L OW
BOLUN	B AA L AH N
BOMB	B AA M
BOMB(2)	B AO M
BONO	B OW N OW
BONUS	B OW N AH S
BOO	B UW
BOOJH	B UW JH
BOOJHO	B UW JH HH OW
BOOM	B UW M
BOORHA	B UH R AH
BOORHAY	B UH R HH EY
BOORHI	B UH R IY
BORHOON	B AH R UW N
BORIYAT	B AH R IY AY AH T
BOS	B AA S
BOSAN	B OW Z AH N
BOSNIYAI	B AA Z N IY AY EY
BOTH	B OW TH
BOWING	B OW IH NG
BOWING(2)	B AW IH NG
BOWLER	B OW L ER
BOWLERON	B OW L ER AO N
BOWLING	B OW L IH NG
BOX	B AA K S
BOY	B OY
BOYA	B OY AH
BOYE	B OY
BOYEN	B OY AH N
BOYS	B OY Z
BRABAR	B R EY B AH R
BRAHMIN	B R AA M IH N
BRAVO	B R AA V OW
BREATHLIZER	B R IY TH L AY Z AH R
BRIDGE	B R IH JH
BRIEFING	B R IY F IH NG
BRIGADE	B R AH G EY D
BRIGADE(2)	B R IH G EY D
BRIGADIER	B R IH G AH D IH R
BROAD	B R AO D
BROCCOLI	B R AA K AH L IY
BROCCOLI(2)	B R AA K L IY
BROWSER	B R AW Z ER
BRUSH	B R AH SH
BUDAKTA	B Y UW D AE K T AH
BUDDHI	B AH D HH IY
BUDH	B AH D
BUDHA	B AH D HH AH
BUDHE	B AH D HH
BUDHU	B AH D HH UW
BUFFER	B AH F ER
BUGAT	B Y UW G AH T
BUGHDADI	B AH D AH D IY
BUGHZ	B AH Z
BUHAT	B AH HH AH T
BUILDER	B IH L D ER
BUILDERS	B IH L D ER Z
BUILDING	B IH L D IH NG
BUJEY	B Y UW JH IY
BUJHANE	B AH JH HH EY N
BUJHI	B AH JH HH IY
BUKHARI	B AH K AH R IY
BULAA	B Y UW L AH
BULAA	B Y UW L AH
BULAND	B Y UW L AH N D
BULBUL	B UH L B AH L
BULDOZE	B UH L D OW Z
BULLDOZER	B UH L D OW Z ER
BULLDOZERON	B UH L D OW Z ER AO N
BUNUN	B Y UW N AH N
BUNYADI	B Y UW N AY AH D IY
BUQA	B AH K AH
BUREAUCRATS	B Y UH R AH K R AE T S
BUREAUCRATS(2)	B Y UH R OW K R AE T S
BURHAAPE	B AH R AH P
BURHAN	B AH R AH N
BURHIYA	B AH R IY AY AH
BURI	B UH R IY
BUS	B AH S
BUSH	B UH SH
BUSINESS	B IH Z N AH S
BUSINESS(2)	B IH Z N IH S
BUSS	B AH S
BUT	B AH T
BUZDIL	B AH Z D AH L
BUZURAG	B Y UW Z AH R AH G
BUZURGWAAR	B Y UW Z AH R G W EY AH R
BY	B AY
BYALIIS	B AY AH L IY IY Z
BYASSI	B AY AE S IY
C	S IY
C	S IY
CAFÃ©	K AE F
CAHND	K AE N D
CAHVA	K AE V AH
CALCIUM	K AE L S IY AH M
CALIING	K AE L AY AH NG
CALL	K AO L
CALLED	K AO L D
CALLING	K AO L IH NG
CALLS	K AO L Z
CAME	K EY M
CAMP	K AE M P
CAN	K AE N
CAN(2)	K AH N
CANADIAN	K AH N EY D IY AH N
CANNOT	K AE N AA T
CANNOT(2)	K AH N AA T
CARBON	K AA R B AH N
CARD	K AA R D
CAREER	K ER IH R
CAREFUL	K EH R F AH L
CAREFULLY	K EH R F AH L IY
CARIO	K AE R IY OW
CASE	K EY S
CASES	K EY S AH Z
CASES(2)	K EY S IH Z
CASON	K AE S AH N
CATARACT	K AE T ER AE K T
CATCH	K AE CH
CELL	S EH L
CELLULITE	S EH L AH L AY T
CENTER	S EH N T ER
CENTER(2)	S EH N ER
CENTRE	S EH N T ER
CENTURIYAN	S EH N T Y AH R IY AY AH N
CENTURY	S EH N CH ER IY
CH	S IY
CHAABI	CH AA B IY
CHAAQ	CH AA K
CHAAQOO	CH AA K UW
CHAAR	CH EY AH R
CHAASHNI	CH AA SH N IY
CHABA	CH AE B AH
CHABBIS	CH AE B AH S
CHABEES	CH EY B IY Z
CHABRI	CH AE B R IY
CHACH	CH AE CH
CHACHA	CH AE CH AH
CHACHAK	CH AE CH AH K
CHACHAR	CH AE CH AH R
CHACHOO	CH AE CH UW
CHAD	CH AE D
CHADDA	CH AE D AH
CHADDAR	CH AE D AH R
CHAEANVE	CH IY AH N V
CHAEYALIS	CH IY AY AH L AH S
CHAHARAM	CH AE HH AH R AH M
CHAHE	CH AE HH
CHAHEN	CH AE AH N
CHAHIYE	CH AE HH IY AY
CHAHTE	CH AE T
CHAHTI	CH AE T IY
CHAHUN	CH AE HH AH N
CHAI	CH AY
CHAICHEN	CH EY CH AH N
CHAIR	CH EH R
CHAIRAG	CH AE AH R AH G
CHAIRMAN	CH EH R M AH N
CHAIYAN	CH EY AY AH N
CHAKA	CH AE K AH
CHAKANDAR	CH AH K AE N D AH R
CHAKHEN	CH AE K AH N
CHAKO	CH AE K OW
CHAL	CH AE L
CHALA	CH AE L AH
CHALAY	CH AE L EY IY
CHALAYE	CH AE L EY
CHALAYEN	CH AE L EY AH N
CHALE	CH EY L
CHALEES	CH EY L IY Z
CHALEIN	CH EY L IY N
CHALEIYE	CH EY L IY AY
CHALEY	CH EY L IY
CHALGOZAY	CH AE L G AA Z EY IY
CHALIS	CH EY L AH S
CHALK	CH AA K
CHALK(2)	CH AO K
CHALLAN	CH AE L AH N
CHALLENGE	CH AE L AH N JH
CHALLENGES	CH AE L AH N JH IH Z
CHALNE	CH AE L N
CHALO	CH AE L OW
CHALTA	CH AE L T AH
CHALTI	CH AE L T IY
CHALUN	CH AE L AH N
CHAMACH	CH AE M AH CH
CHAMAN	CH EY M AH N
CHAMCHA	CH AE M CH AH
CHAMCHAY	CH AE M CH EY IY
CHAMP	CH AE M P
CHAMPION	CH AE M P IY AH N
CHAMPIONS	CH AE M P IY AH N Z
CHAMRA	CH AE M R AH
CHAMRRE	CH AE M R
CHAN	CH AE N
CHAND	CH AE N D
CHANGA	CH AE N G AH
CHANGESMAIN	CH EY N JH IH Z M EY N
CHANGEZIASSEMBLY	CH AE N JH IY Z IY AE S EH M L IY
CHANNEL	CH AE N AH L
CHANT	CH AE N T
CHAONI	CH EY AH N IY
CHAONIA	CH EY OW N Y AH
CHAPPAN	CH AE P AE N
CHAPWAYIN	CH AE P W EY IH N
CHAR	CH AA R
CHARAGHA	CH AE R AH AH
CHARANEY	CH AH R EY N IY
CHARH	CH AA R
CHARHA	CH AA R AH
CHARHAO	CH AA R EY OW
CHARI	CH AE R IY
CHARITY	CH EH R IH T IY
CHASE	CH EY S
CHASHM	CH AE SH M
CHASING	CH EY S IH NG
CHASSIS	CH AE S IY
CHATIIS	CH AE T IY IY Z
CHATTIS	CH AE T IY Z
CHAUBIIS	CH AO B IY AH S
CHAUBIS	CH AO B AH S
CHAUDA	CH AO D AH
CHAUDHRAIN	CH AO D HH R EY N
CHAUDHRY	CH AO D R IY
CHAUHATTAR	CH AH HH AE T AH R
CHAUHATTER	CH AH HH AE T AH R
CHAUNSATH	CH AO N S AH TH
CHAUNTEES	CH AO N T IY Z
CHAUNTIIS	CH AO N T IY AH S
CHAUNTIS	CH AO N T AH S
CHAURANVE	CH AO R AH N V
CHAURASSI	CH AH R AE S IY
CHAWAL	CH AO AH L
CHAWALEES	CH AO AH L IY Z
CHAWALIIS	CH AO AH L IY IY Z
CHAWALIS	CH AO AH L IY Z
CHAWWAN	CH AO W AA N
CHAYA	CH EY AH
CHAYE	CH EY
CHECK	CH EH K
CHED	CH EH D
CHEEKH	CH IY K
CHEEKHAIN	CH IY K EY N
CHEEKHNAY	CH IY K N EY IY
CHEEL	CH IY L
CHEELNE	CH IY L N
CHEEMA	CH IY M AH
CHEEN	CH IY AH N
CHEENI	CH IY N IY
CHEENKE	CH IY NG K
CHEER	CH IH R
CHEERH	CH IH R
CHEET	CH IY T
CHEETHREY	CH IY TH R IY
CHEEZ	CH IY Z
CHEEZEN	CH IY Z AH N
CHEHARON	CH EH HH AH R AH N
CHEHCHAHAHAT	CH AH CH AE HH AH HH AH T
CHEHLUM	CH EH L AH M
CHER	SH EH R
CHEST	CH EH S T
CHEWING	CH UW IH NG
CHEY	CH IY IY
CHHABBIS	CH HH AE B AH S
CHHABIIS	CH HH EY B IY AH S
CHHAE	CH HH IY
CHHAEHATTAR	CH HH IY HH AE T AH R
CHHAEYALIIS	CH HH IY AY EY L IY AH S
CHHAEYASATH	CH HH IY AY AH S AH TH
CHHAEYASSI	CH HH IY AY AE S IY
CHHAIRNAY	CH HH AE AH R N EY IY
CHHAPA	CH HH AE P AH
CHHAPPAN	CH HH AE P AH N
CHHARRYAN	CH HH AE R AY AH N
CHHATEES	CH HH EY T IY Z
CHHEHATAR	CH HH EH EY T AH R
CHHEYANWAY	CH HH EY AE N W EY IY
CHHOYIN	CH HH OY AH N
CHIEF	CH IY F
CHIEFS	CH IY F S
CHIHAL	CH IH AH L
CHILCHELATI	CH IH L CH EH L AH T IY
CHILD	CH AY L D
CHILH	CH IH L
CHILKAY	CH IH L K EY IY
CHILKHA	CH IH L K AH
CHIMTE	CH IH M T
CHINA	CH AY N AH
CHINEYOTI	CH AH N EY AH T IY
CHIRAK	CH IH R AH K
CHIRCHIRA	CH AH R CH AH R AH
CHIRCHIRE	CH AH R CH AY R
CHIRH	CH IH R
CHIRIYA	CH AH R IY AY AH
CHIRNE	CH AH R N
CHIRRIYON	CH AH R IY AY AH N
CHISHTI	CH IH SH T IY
CHOBAND	CH AA B AH N D
CHOBEES	CH OW B IY Z
CHODA	CH OW D AH
CHODAH	CH AA D AH
CHODEN	CH OW D AH N
CHOHAAN	CH AA HH EY AH N
CHOHE	CH AA HH
CHOICE	CH OY S
CHOKHAT	CH AA K AH T
CHOLE	CH OW L
CHOLESTEROL	K AH L EH S T ER AO L
CHOLESTEROL(2)	K AH L EH S T ER AH L
CHOLIKA	CH AA L AH K AH
CHON	CH AA N
CHONCHLE	CH AO NG K L
CHOND	CH AA N D
CHONGI	CH AA N JH IY
CHONKA	CH AO NG K AH
CHONSATH	CH AA N S AH TH
CHONTEES	CH AA N T IY Z
CHOOHON	CH UW HH AH N
CHOOLHE	CH UW L HH
CHOOM	CH UW M
CHOONKE	CH UW NG K
CHOOSNE	CH UW Z N
CHOR	CH AO R
CHORA	CH AO R AH
CHORANGI	CH AH R AE N JH IY
CHOREOGRAPHER	K AO R IY AA G R AH F ER
CHORI	CH AO R IY
CHORIYAN	CH AH R IY AY AH N
CHORNE	CH AO R N
CHORON	CH AO R AH N
CHORR	CH AO R
CHORRU	CH AO R UW
CHOTA	CH OW T AH
CHOTAY	CH AA T EY IY
CHOTE	CH OW T
CHOTHA	CH AA TH AH
CHOTHE	CH OW DH
CHOTHI	CH AA TH IY
CHOTI	CH OW T IY
CHOUP	CH UW P
CHOZE	CH OW Z
CHOZON	CH AA Z AH N
CHROMOSOME	K R OW M AH S OW M
CHROMOSOME(2)	K R OW M AH Z OW M
CHUA	K UW AH
CHUA(2)	K W AA
CHUBH	CH AH B
CHUBHNE	CH AH B HH N
CHUGHLI	CH AH L IY
CHUGHNI	CH AH N IY
CHUGHTAI	CH AH T EY
CHUGNE	CH AH N
CHUHAARE	CH AH HH AH R
CHUIYA	CH UW AY AH
CHUKA	CH UW K AH
CHUKE	CH UW K
CHUM	CH AH M
CHUNANCHE	CH UW N AH NG K
CHUNDHIYA	CH AH N D HH IY AY AH
CHUNGAL	CH AH N G AH L
CHUP	CH AH P
CHÙUP	CH AH P
CHUPA	CH UW P AH
CHURAIL	CH AH R EY L
CHURANE	CH AH R EY N
CHURCH	CH ER CH
CHURI	CH UH R IY
CHURRA	CH AH R AH
CHURRI	CH AH R IY
CHUST	CH AH S T
CHUTI	CH UW T IY
CHUTIYAN	CH UW T IY AY AH N
CHUTTI	CH AH T IY
CHUYE	CH UW W AY
CHYASEEVEIN	CH AY EY S AH V EY N
CIGGERETTE	S IH JH AH R EH T
CINEMA	S IH N AH M AH
CITY	S IH T IY
CIVIC	S IH V IH K
CIVIL	S IH V AH L
CIVILIAN	S AH V IH L Y AH N
CLAIM	K L EY M
CLASHAN	K L AE SH AH N
CLASSES	K L AE S AH Z
CLASSES(2)	K L AE S IH Z
CLEAR	K L IH R
CLEARANCE	K L IH R AH N S
CLEARING	K L IH R IH NG
CLONING	K L OW N IH NG
CLOSE	K L OW S
CLOSE(2)	K L OW Z
CNIC	K N IH K
CNIC	K N IH K
COACH	K OW CH
COACHING	K OW CH IH NG
COACHON	K OW CH AO N
CODE	K OW D
COLLEGE	K AA L IH JH
COLLEGES	K AA L IH JH IH Z
COLLEGON	K AA L EH G AH N
COLON	K OW L AH N
COLONY	K AA L AH N IY
COMBINATION	K AA M B AH N EY SH AH N
COME	K AH M
COMEDY	K AA M AH D IY
COMES	K AH M Z
COMISSION	K OW M IH SH AH N
COMITEE	K OW M AY T IY
COMMISSIONAIRE	K AH M IH SH AH N AH AY ER
COMMUNIST	K AA M Y AH N AH S T
COMMUNITY	K AH M Y UW N AH T IY
COMMUNITY(2)	K AH M Y UW N IH T IY
COMODORE	K AH M AA D AH R
COMPANION	K AH M P AE N Y AH N
COMPANY	K AH M P AH N IY
COMPARING	K AH M P EH R IH NG
COMPLAIN	K AH M P L EY N
COMPUTERIZED	K AH M P Y UW T ER AY Z D
CONFERECON	K AA N F EH R AH K AH N
CONFERENCE	K AA N F ER AH N S
CONFERENCE(2)	K AA N F R AH N S
CONFIRM	K AH N F ER M
CONFUSE	K AH N F Y UW Z
CONFUSED	K AH N F Y UW Z D
CONFUSING	K AH N F Y UW Z IH NG
CONFUSION	K AH N F Y UW ZH AH N
CONGRESS	K AA NG G R AH S
CONSOCIOUM	K AA N S OW S IY AW M
CONTACT	K AA N T AE K T
CONTINUE	K AH N T IH N Y UW
CONTINUES	K AH N T IH N Y UW Z
CONTRACT	K AA N T R AE K T
CONTRACT(2)	K AH N T R AE K T
CONTROL	K AH N T R OW L
CONVENTION	K AH N V EH N SH AH N
CONVINCE	K AH N V IH N S
CONVOCATION	K AA N V AH K EY SH AH N
CO-ORDINATOR	K OW AO R D AH N AH T ER
CO-ORPORATION	K OW AO R P AH R EY SH AH N
COROLLA	K ER AA L AH
CORRECTLY	K ER EH K T L IY
COSMOS	K AA Z M OW S
COUCH	K AW CH
COUCHWAN	K AW CH W AA N
COUNCELATE	K OW AH N S AH L EY T
COUNCELLER	K OW AH N S EH L ER
COUNCIL	K AW N S AH L
COUNTER	K AW N T ER
COUNTING	K AW N T IH NG
COUNTY	K AW N T IY
COUNTY(2)	K AW N IY
COURE	K OW Y AH R
COURIER	K ER IY ER
COURSE	K AO R S
COVERAGE	K AH V ER AH JH
COVERAGE(2)	K AH V ER IH JH
COVERAGE(3)	K AH V R IH JH
CRASH	K R AE SH
CRORE	K R AO R
CRUSHING	K R AH SH IH NG
CULTURE	K AH L CH ER
CULTUS	K AH L T AH S
CUNCIL	K AH N S AH L
CUP	K AH P
CURFEW	K ER F Y UW
CUZ	K AH Z
CYBERPEDIA	S IH B AH R P IY D IY AH
CYCLE	S AY K AH L
D	D IY
D	D IY
DAAGH	D AA
DAAGHNE	D AA N
DAAKHLON	D AA K L AH N
DAAKHUON	D AA K Y UW AH N
DAAL	D EY AH L
DAALEN	D AA L AH N
DAALNAY	D AA L N EY IY
DAALNE	D AA L N
DAAM	D AA M
DAAR	D EY AH R
DABAIYE	D AE B EY AY
DABAO	D AE B EY OW
DABAYA	D AE B EY AH
DABAYE	D AE B EY
DABAYIYE	D AH B EY IY AY
DABB	D AE B
DABBA	D AE B AH
DABEEZ	D EY B IY Z
DABO	D AE B OW
DABOCH	D AE B AH CH
DACHKA	D AE CH AH
DADA	D AA D AA
DADI	D AE D IY
DAED	D EY D
DAFA	D AE F AH
DAFAN	D EY F AH N
DAFFA	D AE F AH
DAFTAR	D AE F T AH R
DAGAR	D AE G ER
DAGHA	D AE AH
DAGHDAR	D AE D AH R
DAGHE	D AE
DAHA	D AE HH AH
DAHAI	D AE HH EY
DAHI	D AE HH IY
DAHINDGAAN	D AH HH IH N JH EY AH N
DAIHATSU	D AY HH AE T S UW
DAILY	D EY L IY
DAJ	D AE JH
DAKHAL	D AE K AH L
DAKHIL	D AE K AH L
DAKHLA	D AE K L AH
DAKHLON	D AE K L AH N
DAL	D AE L
DALNE	D AE L N
DALTE	D AE L T
DALUN	D AE L AH N
DAM	D AE M
DANCE	D AE N S
DANG	D AE NG
DANISH	D EY N IH SH
DANISHWER	D AH N IH SH W AH R
DANSHMNDANH	D AE N SH M N D AH N
DANSHO	D AE N SH OW
DAO	D AW
DAR	D AA R
DARAAZ	D AE R AH Z
DARAKHSHAN	D AH R AE K AH N
DARAKHT	D AE R AH K T
DARARE	D AE R AH R
DARD	D AA R D
DAREECHE	D AH R IY CH
DAREGH	D AE R
DARH	D AA R
DARI	D AE R IY
DARJ	D AA R JH
DARJAN	D AA R JH AH N
DARJE	D AA R JH
DARJON	D AA R JH AH N
DARKHOR	D AA R K AH R
DARKHWAST	D AA R K W AH S T
DARMIYAAN	D AA R M IY AY EY AH N
DARMIYAN	D AA R M IY AY AH N
DARMYANA	D AA R M AY AH N AH
DAROMADAR	D AH R AA M AH D AH R
DARON	D AE R AH N
DARRI	D AE R IY
DARS	D AA R Z
DARSGAH	D AA R S G AH
DARSGAHON	D AA R S G AH HH AH N
DAR-UL-KHILAFA	D AA R AH L K HH IH L AH F AH
DARYAFT	D AE R AY AH F T
DARYAON	D EH R IY AH AO N
DAS	D AE S
DAS(2)	D AA S
DASH	D AE SH
DASHT	D AE SH T
DASS	D AE S
DASTAAN	D AE S T EY AH N
DASTAWIZAAT	D AE S T AO AH Z AH T
DASTAWIZI	D AE S T AO AH Z IY
DASWEIN	D AE S W IY N
DATE	D EY T
DAUD	D AO D
DAUDI	D AO D IY
DAULAT	D AO L AH T
DAUNGA	D AO N G AH
DAUR	D AO R
DAURAA	D AO R AH
DAVID	D EY V IH D
DAWA	D AO AH
DAWAON	D AO EY AH N
DAWON	D AO AH N
DAWOOD	D AO UW D
DAY	D EY
DAYANATDAR	D EY AH N AE T D AH R
DAYEN	D EY AH N
DBOYIN	D B OY AH N
DDAAL	D EY AH L
DDAL	D AE L
DDOSRE	D AA Z AH R
DE	D IY
DE(2)	D EY
DE(3)	D AH
DEAD	D EH D
DEAL	D IY L
DEATH	D EH TH
DEBACHA	D AH B AE CH AH
DEBACHAY	D AH B AE CH EY IY
DEBATE	D AH B EY T
DEBIT	D EH B IH T
DECEMBER	D IH S EH M B ER
DECLERATION	D IH K L AH R EY SH AH N
DEEGAR	D IY IY G AH R
DEEN	D IY N
DEEWAAR	D IY Y UW EY AH R
DEFENCE	D IH F EH N S
DEGA	D AH G AA
DEGCHI	D IH G CH IY
DEGREE	D IH G R IY
DEHAAN	D EH HH AA N
DEHAL	D EH AH L
DEHATION	D IY HH EY SH AH N
DEHELVI	D AH HH EH L V IY
DEHLA	D IH HH L AA
DEHLI	D IH HH L IY
DEHSHAT	D IH HH SH AE T
DEIN	D IY IH N
DEKH	D EH K
DEKHA	D IH K AA
DEKHE	D IH K IY
DEKHEIN	D IH K IY N
DEKHEN	D EH K AH N
DEKHI	D IH K IY
DEKHIEYE	D IH K IY AY
DEKHIN	D IH K IH N
DEKHIYE	D IH K AY AY
DEKHNE	D IH K N
DEKHO	D IH K OW
DEKHTE	D IH K T
DEKHUN	D IH K AH N
DEKNA	D AH N AA
DELUSION	D IH L UW ZH AH N
DEMO	D EH M OW
DEN	D EH N
DENA	D IY N AH
DENE	D AH N IY
DENTAL	D EH N T AH L
DEO	D IY OW
DEOBAND	D IY AA B AH N D
DEOBANDI	D IY AH B AE N D IY
DEODAAS	D IY AA D AH Z
DEORRI	D IY AO R IY
DEPEND	D IH P EH N D
DEPRESSION	D IH P R EH SH AH N
DER	D ER
DEREENA	D IH R IY AH N AA
DERH	D EH R
DERHE	D AH R IY
DERICHOON	D IH R AH CH UW N
DESERT	D EH Z ER T
DESERT(2)	D IH Z ER T
DESH	D EH SH
DESI	D EH Z IY
DESIGN	D IH Z AY N
DESK	D EH S K
DESSIGHNERON	D IH S AY N AH R AH N
DETA	D AH T AA
DETE	D AH T IY
DETEY	D IY T IY
DETI	D AH T IY
DEVELOPER	D IH V EH L AH P ER
DEVELOPMENT	D IH V EH L AH P M AH N T
DEVI	D AH V IY
DEWEL	D AH W EH L
DEY	D EY
DEYA	D IY Y AA
DEYNA	D IY Y N AA
DHAA	D HH AA
DHAAL	D HH EY AH L
DHAAR	D HH EY AH R
DHAB	D HH AE B
DHABBAY	D HH AE B EY IY
DHABE	D HH EY B
DHAGE	D HH EY JH
DHAI	D HH EY
DHAJIYAN	D HH EY JH IY AY AH N
DHAL	D HH AE L
DHALAK	D HH AE L AH K
DHAMAKA	D HH AE M AH K AH
DHAMKA	D HH AE M K AH
DHAMKAA	D HH AE M K AH
DHAMKAANAY	D HH AE M K AA N EY IY
DHAMKI	D HH AE M K IY
DHANCHE	D HH AE NG K
DHANDHORA	D HH AE N D HH AH R AH
DHANDLI	D HH AE N D L IY
DHANG	D HH AE NG
DHANIYA	D HH EY N IY AY AH
DHANMP	D HH AE N M P
DHAR	D HH AA R
DHARA	D HH AE R AH
DHARALE	D HH AH R EY L
DHARAM	D HH AE R AH M
DHARAY	D HH AE R EY IY
DHARHEIN	D HH AH R IY N
DHARI	D HH AE R IY
DHARS	D HH AA R Z
DHAY	D HH EY IY
DHEEMI	D HH IY M IY
DHEERE	D HH IH R
DHELE	D HH IY L
DHENCHU	D HH EH NG K UW
DHER	D HH EH R
DHINGA	D HH IH N G AH
DHO	D HH OW
DHOBI	D HH AA B IY
DHOHAR	D HH AA AH R
DHOL	D HH AA L
DHONDH	D HH AA N D
DHONEKE	D HH AH N IY K
DHONK	D HH AO NG K
DHOOAN	D HH UW AH N
DHOOEN	D HH UW AH N
DHOOL	D HH UW L
DHOOM	D HH UW M
DHOONI	D HH UW N IY
DHOOP	D HH UW P
DHOYA	D HH OY AH
DHOYE	D HH OY
DHUL	D HH AH L
DHUNDEN	D HH AH N D AH N
DHUNDH	D HH AH N D
DHUWEN	D HH AH W AH N
DI	D IY
DI(2)	D AY
DIAGRAM	D AY AH G R AE M
DICTATION	D IH K T EY SH AH N
DID	D IH D
DIDNT	D IH D N T
DIFAA	D IH F AH
DIFFERENCE	D IH F ER AH N S
DIFFERENCE(2)	D IH F R AH N S
DIFFERENT	D IH F ER AH N T
DIFFERENT(2)	D IH F R AH N T
DIFFICULT	D IH F AH K AH L T
DIGITAL	D IH JH AH T AH L
DIGITAL(2)	D IH JH IH T AH L
